,Unnamed: 0,Club,League,Value Aug 1 of Year,Season,cleaned_new_club,longest_word_team
2558,20,Ipswich Town,Championship,13500000.0,2018/ 2019,ipswich town,i ipswich t
2559,1,Burnley FC,Premier League,156750000.0,2018/ 2019,burnley,b burnley b
2560,2,Leeds United,Championship,58350000.0,2018/ 2019,leeds united,l united u
2563,5,Sheffield United,Championship,13050000.0,2018/ 2019,sheffield united,s sheffield u
2564,6,Middlesbrough FC,Championship,89650000.0,2018/ 2019,middlesbrough,m middlesbrough m
2565,7,Norwich City,Championship,50100000.0,2018/ 2019,norwich city,n norwich c
2567,9,Hull City,Championship,42850000.0,2018/ 2019,hull city,h hull c
2568,10,West Bromwich Albion,Championship,103500000.0,2018/ 2019,west bromwich albion,w bromwich a
2569,11,Blackburn Rovers,Championship,11150000.0,2018/ 2019,blackburn rovers,b blackburn r
2570,12,Bristol City,Championship,35450000.0,2018/ 2019,bristol city,b bristol c
2571,13,Watford FC,Premier League,195500000.0,2018/ 2019,watford,w watford w
2572,14,Cardiff City,Premier League,56300000.0,2018/ 2019,cardiff city,c cardiff c
2573,15,Stoke City,Championship,142000000.0,2018/ 2019,stoke city,s stoke c
2574,16,Swansea City,Championship,121500000.0,2018/ 2019,swansea city,s swansea c
2575,17,Preston North End,Championship,14150000.0,2018/ 2019,preston north end,p preston e
2576,18,Queens Park Rangers,Championship,27650000.0,2018/ 2019,queens park rangers,q rangers r
2578,20,Millwall FC,Championship,11630000.0,2018/ 2019,millwall,m millwall m
2579,21,Sheffield Wednesday,Championship,46430000.0,2018/ 2019,sheffield wednesday,s sheffield w
2580,22,Derby County,Championship,56400000.0,2018/ 2019,derby county,d county c
2583,1,Real Madrid,La Liga,929000000.0,2018/ 2019,real madrid,r madrid m
2584,2,FC Barcelona,La Liga,1090000000.0,2018/ 2019,barcelona,b barcelona b
2585,3,Atlético de Madrid,La Liga,760000000.0,2018/ 2019,atletico de madrid,a atletico m
2586,4,Real Sociedad,La Liga,173100000.0,2018/ 2019,real sociedad,r sociedad s
2587,5,Athletic Bilbao,La Liga,219400000.0,2018/ 2019,athletic bilbao,a athletic b
2588,6,Valencia CF,La Liga,333100000.0,2018/ 2019,valencia,v valencia v
2589,7,Villarreal CF,La Liga,216000000.0,2018/ 2019,villarreal,v villarreal v
2590,8,Girona FC,La Liga,65200000.0,2018/ 2019,girona,g girona g
2591,9,Real Betis Balompié,La Liga,137300000.0,2018/ 2019,real betis balompie,r balompie b
2592,10,Sevilla FC,La Liga,192300000.0,2018/ 2019,sevilla,s sevilla s
2593,11,UD Las Palmas,LaLiga2,22600000.0,2018/ 2019,las palmas,l palmas p
2594,12,CA Osasuna,LaLiga2,16100000.000000002,2018/ 2019,osasuna,o osasuna o
2595,13,RCD Mallorca,LaLiga2,10650000.0,2018/ 2019,mallorca,m mallorca m
2596,14,Deportivo Alavés,La Liga,46000000.0,2018/ 2019,deportivo alaves,d deportivo a
2597,15,Celta de Vigo,La Liga,160700000.0,2018/ 2019,celta de vigo,c celta v
2598,16,RCD Espanyol Barcelona,La Liga,67500000.0,2018/ 2019,espanyol barcelona,e barcelona b
2599,17,Getafe CF,La Liga,59100000.0,2018/ 2019,getafe,g getafe g
2600,18,Rayo Vallecano,La Liga,20300000.0,2018/ 2019,rayo vallecano,r vallecano v
2601,19,CD Leganés,La Liga,62930000.0,2018/ 2019,leganes,l leganes l
2602,20,Real Valladolid CF,La Liga,10500000.0,2018/ 2019,real valladolid,r valladolid v
2603,1,Inter Milan,Serie A,503750000.0,2018/ 2019,inter milan,i inter m
2604,2,Juventus FC,Serie A,867500000.0,2018/ 2019,juventus,j juventus j
2605,3,AC Milan,Serie A,418500000.0,2018/ 2019,milan,m milan m
2606,4,Atalanta BC,Serie A,174250000.0,2018/ 2019,atalanta,a atalanta a
2607,5,SSC Napoli,Serie A,504930000.0,2018/ 2019,napoli,n napoli n
2608,6,AS Roma,Serie A,462600000.0,2018/ 2019,roma,r roma r
2609,7,Bologna FC 1909,Serie A,74000000.0,2018/ 2019,bologna,b bologna b
2610,8,ACF Fiorentina,Serie A,193100000.0,2018/ 2019,fiorentina,f fiorentina f
2611,9,SS Lazio,Serie A,349300000.0,2018/ 2019,lazio,l lazio l
2612,10,Torino FC,Serie A,164600000.0,2018/ 2019,torino,t torino t
2613,11,Genoa CFC,Serie A,79650000.0,2018/ 2019,genoa,g genoa g
2614,12,Udinese Calcio,Serie A,86650000.0,2018/ 2019,udinese calcio,u udinese c
2615,13,Parma Calcio 1913,Serie A,19500000.0,2018/ 2019,parma calcio,p calcio c
2616,14,Como 1907,Serie A,1130000.0,2018/ 2019,como,c como c
2617,15,AC Monza,Serie A,3150000.0,2018/ 2019,monza,m monza m
2618,16,US Lecce,Serie A,10500000.0,2018/ 2019,lecce,l lecce l
2619,17,Hellas Verona,Serie A,14450000.0,2018/ 2019,hellas verona,h hellas v
2620,18,Cagliari Calcio,Serie A,106530000.0,2018/ 2019,cagliari calcio,c cagliari c
2621,19,FC Empoli,Serie A,30130000.0,2018/ 2019,empoli,e empoli e
2622,20,Venezia FC,Serie A,12480000.0,2018/ 2019,venezia,v venezia v
2623,1,Bayern Munich,Bundesliga,867650000.0,2018/ 2019,bayern munich,b bayern m
2624,2,Bayer 04 Leverkusen,Bundesliga,357000000.0,2018/ 2019,bayer  leverkusen,b leverkusen l
2625,3,RB Leipzig,Bundesliga,300100000.0,2018/ 2019,leipzig,l leipzig l
2626,4,Borussia Dortmund,Bundesliga,346750000.0,2018/ 2019,borussia dortmund,b borussia d
2627,5,VfB Stuttgart,Bundesliga,147850000.0,2018/ 2019,vfb stuttgart,v stuttgart s
2628,6,Eintracht Frankfurt,Bundesliga,99750000.0,2018/ 2019,eintracht frankfurt,e eintracht f
2629,7,VfL Wolfsburg,Bundesliga,132300000.00000001,2018/ 2019,vfl wolfsburg,v wolfsburg w
2630,8,SC Freiburg,Bundesliga,101500000.0,2018/ 2019,freiburg,f freiburg f
2631,9,TSG 1899 Hoffenheim,Bundesliga,183100000.0,2018/ 2019,hoffenheim,h hoffenheim h
2632,10,Borussia Mönchengladbach,Bundesliga,194030000.0,2018/ 2019,borussia monchengladbach,b monchengladbach m
2633,11,1.FC Union Berlin,Bundesliga,17600000.0,2018/ 2019,union berlin,u berlin b
2634,12,SV Werder Bremen,Bundesliga,90350000.0,2018/ 2019,werder bremen,w werder b
2635,13,FC Augsburg,Bundesliga,96850000.0,2018/ 2019,augsburg,a augsburg a
2636,14,1.FSV Mainz 05,Bundesliga,78980000.0,2018/ 2019,mainz,m mainz m
2637,15,1.FC Heidenheim 1846,Bundesliga,12550000.0,2018/ 2019,heidenheim,h heidenheim h
2638,16,VfL Bochum,Bundesliga,13150000.0,2018/ 2019,vfl bochum,v bochum b
2639,17,FC St. Pauli,Bundesliga,16300000.0,2018/ 2019,st pauli,s pauli p
2640,18,Holstein Kiel,Bundesliga,10900000.0,2018/ 2019,holstein kiel,h holstein k
2641,1,Paris Saint-Germain,Ligue 1,825300000.0,2018/ 2019,paris saintgermain,p saintgermain s
2642,2,AS Monaco,Ligue 1,273600000.0,2018/ 2019,monaco,m monaco m
2643,3,Olympique Marseille,Ligue 1,240800000.0,2018/ 2019,olympique marseille,o olympique m
2644,4,LOSC Lille,Ligue 1,103200000.0,2018/ 2019,lille,l lille l
2645,5,Olympique Lyon,Ligue 1,353200000.0,2018/ 2019,olympique lyon,o olympique l
2646,6,OGC Nice,Ligue 1,126800000.0,2018/ 2019,nice,n nice n
2647,7,Stade Rennais FC,Ligue 1,122300000.0,2018/ 2019,stade rennais,s rennais r
2648,8,RC Strasbourg Alsace,Ligue 1,37200000.0,2018/ 2019,strasbourg alsace,s strasbourg a
2649,9,RC Lens,Ligue 1,17780000.0,2018/ 2019,lens,l lens l
2650,10,Stade Reims,Ligue 1,22350000.0,2018/ 2019,stade reims,s stade r
2651,11,Stade Brestois 29,Ligue 1,14850000.0,2018/ 2019,stade brestois,s brestois b
2652,12,FC Nantes,Ligue 1,77550000.0,2018/ 2019,nantes,n nantes n
2653,13,Montpellier HSC,Ligue 1,55550000.0,2018/ 2019,montpellier,m montpellier m
2654,14,FC Toulouse,Ligue 1,74700000.0,2018/ 2019,toulouse,t toulouse t
2655,15,Le Havre AC,Ligue 1,16550000.0,2018/ 2019,le havre,l havre h
2656,16,AJ Auxerre,Ligue 1,15000000.0,2018/ 2019,auxerre,a auxerre a
2657,17,AS Saint-Étienne,Ligue 1,58450000.0,2018/ 2019,saintetienne,s saintetienne s
2658,18,Angers SCO,Ligue 1,44200000.0,2018/ 2019,angers,a angers a
2659,1,Celtic FC,Premiership,56400000.0,2018/ 2019,celtic,c celtic c
2660,2,Rangers FC,Premiership,27900000.0,2018/ 2019,rangers,r rangers r
2661,3,Heart of Midlothian FC,Premiership,11880000.0,2018/ 2019,heart of midlothian,h midlothian m
2662,4,Hibernian FC,Premiership,9200000.0,2018/ 2019,hibernian,h hibernian h
2663,5,Aberdeen FC,Premiership,8050000.000000001,2018/ 2019,aberdeen,a aberdeen a
2664,6,Kilmarnock FC,Premiership,6930000.0,2018/ 2019,kilmarnock,k kilmarnock k
2665,7,Motherwell FC,Premiership,4850000.0,2018/ 2019,motherwell,m motherwell m
2666,8,Dundee FC,Premiership,4880000.0,2018/ 2019,dundee,d dundee d
2667,9,St. Mirren FC,Premiership,3500000.0,2018/ 2019,st mirren,s mirren m
2668,10,Dundee United FC,Premiership,6050000.0,2018/ 2019,dundee united,d dundee u
2669,11,Ross County FC,Premiership,4800000.0,2018/ 2019,ross county,r county c
2670,12,St. Johnstone FC,Premiership,6080000.0,2018/ 2019,st johnstone,s johnstone j
2671,1,PSV Eindhoven,Eredivisie,131900000.0,2018/ 2019,eindhoven,e eindhoven e
2672,2,Feyenoord Rotterdam,Eredivisie,101050000.0,2018/ 2019,feyenoord rotterdam,f feyenoord r
2673,3,Ajax Amsterdam,Eredivisie,211150000.0,2018/ 2019,ajax amsterdam,a amsterdam a
2674,4,Twente Enschede FC,Eredivisie,9680000.0,2018/ 2019,twente enschede,t enschede e
2675,5,AZ Alkmaar,Eredivisie,62580000.0,2018/ 2019,alkmaar,a alkmaar a
2676,6,FC Utrecht,Eredivisie,31750000.0,2018/ 2019,utrecht,u utrecht u
2677,7,Sparta Rotterdam,Eredivisie,8080000.0,2018/ 2019,sparta rotterdam,s rotterdam r
2678,8,NEC Nijmegen,Eredivisie,3880000.0,2018/ 2019,nijmegen,n nijmegen n
2679,9,SC Heerenveen,Eredivisie,27680000.0,2018/ 2019,heerenveen,h heerenveen h
2680,10,PEC Zwolle,Eredivisie,21150000.0,2018/ 2019,zwolle,z zwolle z
2681,11,Fortuna Sittard,Eredivisie,8199999.999999999,2018/ 2019,fortuna sittard,f fortuna s
2682,12,Go Ahead Eagles,Eredivisie,4250000.0,2018/ 2019,go ahead eagles,g eagles e
2683,13,NAC Breda,Eredivisie,8279999.999999999,2018/ 2019,breda,b breda b
2684,14,Heracles Almelo,Eredivisie,18500000.0,2018/ 2019,heracles almelo,h heracles a
2685,15,FC Groningen,Eredivisie,24100000.0,2018/ 2019,groningen,g groningen g
2686,16,Almere City FC,Eredivisie,2930000.0,2018/ 2019,almere city,a almere c
2687,17,Willem II Tilburg,Eredivisie,11230000.0,2018/ 2019,willem  tilburg,w tilburg t
2688,18,RKC Waalwijk,Eredivisie,2830000.0,2018/ 2019,waalwijk,w waalwijk w
2689,1,Galatasaray,Süper Lig,75850000.0,2018/ 2019,galatasaray,g galatasaray g
2690,2,Fenerbahce,Süper Lig,68500000.0,2018/ 2019,fenerbahce,f fenerbahce f
2691,3,Besiktas JK,Süper Lig,90250000.0,2018/ 2019,besiktas,b besiktas b
2692,4,Trabzonspor,Süper Lig,56700000.0,2018/ 2019,trabzonspor,t trabzonspor t
2693,5,Basaksehir FK,Süper Lig,49900000.0,2018/ 2019,basaksehir,b basaksehir b
2694,6,Caykur Rizespor,Süper Lig,8430000.0,2018/ 2019,caykur rizespor,c rizespor r
2695,7,Göztepe,Süper Lig,21850000.0,2018/ 2019,goztepe,g goztepe g
2696,8,Eyüpspor,Süper Lig,1250000.0,2018/ 2019,eyupspor,e eyupspor e
2697,9,Kasimpasa,Süper Lig,20300000.0,2018/ 2019,kasimpasa,k kasimpasa k
2698,10,Samsunspor,Süper Lig,1850000.0,2018/ 2019,samsunspor,s samsunspor s
2699,11,Antalyaspor,Süper Lig,17850000.0,2018/ 2019,antalyaspor,a antalyaspor a
2700,12,Alanyaspor,Süper Lig,25950000.0,2018/ 2019,alanyaspor,a alanyaspor a
2701,13,Konyaspor,Süper Lig,24280000.0,2018/ 2019,konyaspor,k konyaspor k
2702,14,Sivasspor,Süper Lig,20550000.0,2018/ 2019,sivasspor,s sivasspor s
2703,15,Kayserispor,Süper Lig,21550000.0,2018/ 2019,kayserispor,k kayserispor k
2704,16,Hatayspor,Süper Lig,2700000.0,2018/ 2019,hatayspor,h hatayspor h
2705,17,Gaziantep FK,Süper Lig,4080000.0,2018/ 2019,gaziantep,g gaziantep g
2706,18,Bodrum FK,Süper Lig,1800000.0,2018/ 2019,bodrum,b bodrum b
2707,19,Adana Demirspor,Süper Lig,2750000.0,2018/ 2019,adana demirspor,a demirspor d
2708,1,Club Brugge KV,Jupiler Pro League,96850000.0,2018/ 2019,club brugge,c brugge b
2709,2,RSC Anderlecht,Jupiler Pro League,100230000.0,2018/ 2019,anderlecht,a anderlecht a
2710,3,KRC Genk,Jupiler Pro League,64450000.0,2018/ 2019,genk,g genk g
2711,4,Union Saint-Gilloise,Jupiler Pro League,8630000.0,2018/ 2019,union saintgilloise,u saintgilloise s
2712,5,KAA Gent,Jupiler Pro League,67750000.0,2018/ 2019,gent,g gent g
2713,6,Royal Antwerp FC,Jupiler Pro League,15850000.0,2018/ 2019,royal antwerp,r antwerp a
2714,7,Standard Liège,Jupiler Pro League,61900000.0,2018/ 2019,standard liege,s standard l
2715,8,Cercle Brugge ,Jupiler Pro League,15150000.0,2018/ 2019,cercle brugge,c cercle b
2716,9,KVC Westerlo,Jupiler Pro League,6050000.0,2018/ 2019,westerlo,w westerlo w
2717,10,Oud-Heverlee Leuven,Jupiler Pro League,11300000.0,2018/ 2019,oudheverlee leuven,o oudheverlee l
2718,11,R Charleroi SC,Jupiler Pro League,26730000.0,2018/ 2019,r charleroi,r charleroi c
2719,12,KV Mechelen,Jupiler Pro League,14800000.0,2018/ 2019,mechelen,m mechelen m
2720,13,KV Kortrijk,Jupiler Pro League,15100000.0,2018/ 2019,kortrijk,k kortrijk k
2721,14,Sint-Truidense VV,Jupiler Pro League,16200000.0,2018/ 2019,sinttruidense,s sinttruidense s
2722,15,Beerschot VA,Jupiler Pro League,10900000.0,2018/ 2019,beerschot,b beerschot b
2723,16,FCV Dender EH,Jupiler Pro League,35000000.0,2018/ 2019,dender,d dender d
2724,1,Sporting CP,Liga Portugal,207900000.0,2018/ 2019,sporting,s sporting s
2725,2,FC Porto,Liga Portugal,233280000.0,2018/ 2019,porto,p porto p
2726,3,SL Benfica,Liga Portugal,240200000.0,2018/ 2019,benfica,b benfica b
2727,4,SC Braga,Liga Portugal,73250000.0,2018/ 2019,braga,b braga b
2728,5,FC Famalicão,Liga Portugal,7250000.0,2018/ 2019,famalicao,f famalicao f
2729,6,Vitória Guimarães SC,Liga Portugal,35650000.0,2018/ 2019,vitoria guimaraes,v guimaraes g
2730,7,FC Arouca,Liga Portugal,9650000.0,2018/ 2019,arouca,a arouca a
2731,8,Rio Ave FC,Liga Portugal,14850000.0,2018/ 2019,rio ave,r rio a
2732,9,Moreirense FC,Liga Portugal,11230000.0,2018/ 2019,moreirense,m moreirense m
2733,10,Gil Vicente FC,Liga Portugal,2180000.0,2018/ 2019,gil vicente,g vicente v
2734,11,Estoril Praia,Liga Portugal,15500000.0,2018/ 2019,estoril praia,e estoril p
2735,12,Casa Pia AC,Liga Portugal,32500000.0,2018/ 2019,casa pia,c casa p
2736,13,SC Farense,Liga Portugal,2800000.0,2018/ 2019,farense,f farense f
2737,14,Avs Futebol,Liga Portugal,,2018/ 2019,avs futebol,a futebol f
2738,15,CF Estrela Amadora,Liga Portugal,,2018/ 2019,estrela amadora,e estrela a
2739,16,CD Nacional,Liga Portugal,7180000.0,2018/ 2019,nacional,n nacional n
2740,17,Boavista FC,Liga Portugal,12030000.0,2018/ 2019,boavista,b boavista b
2741,18,CD Santa Clara,Liga Portugal,7650000.0,2018/ 2019,santa clara,s santa c
2742,1,Sanfrecce Hiroshima,J League,13980000.0,2018/ 2019,sanfrecce hiroshima,s sanfrecce h
2743,2,Machida Zelvia,J League,2300000.0,2018/ 2019,machida zelvia,m machida z
2744,3,Urawa Red Diamonds,J League,18400000.0,2018/ 2019,urawa red diamonds,u diamonds d
2745,4,Yokohama F. Marinos,J League,15380000.0,2018/ 2019,yokohama f marinos,y yokohama m
2746,5,Gamba Osaka,J League,15400000.0,2018/ 2019,gamba osaka,g gamba o
2747,6,Kashima Antlers,J League,14080000.0,2018/ 2019,kashima antlers,k kashima a
2748,7,Kyoto Sanga,J League,6650000.0,2018/ 2019,kyoto sanga,k kyoto s
2749,8,Vissel Kobe,J League,11130000.0,2018/ 2019,vissel kobe,v vissel k
2750,9,Kawasaki Frontale,J League,13000000.0,2018/ 2019,kawasaki frontale,k kawasaki f
2751,10,Kashiwa Reysol,J League,12380000.0,2018/ 2019,kashiwa reysol,k kashiwa r
2752,11,Cerezo Osaka,J League,16780000.0,2018/ 2019,cerezo osaka,c cerezo o
2753,12,FC Tokyo,J League,16780000.0,2018/ 2019,tokyo,t tokyo t
2754,13,Nagoya Grampus,J League,12850000.0,2018/ 2019,nagoya grampus,n grampus g
2755,14,Tokyo Verdy,J League,3700000.0,2018/ 2019,tokyo verdy,t tokyo v
2756,15,Avispa Fukuoka,J League,5130000.0,2018/ 2019,avispa fukuoka,a fukuoka f
2757,16,Júbilo Iwata,J League,10100000.0,2018/ 2019,jubilo iwata,j jubilo i
2758,17,Hokkaido Consadole Sapporo,J League,6300000.0,2018/ 2019,hokkaido consadole sapporo,h consadole s
2759,18,Albirex Niigata,J League,10730000.0,2018/ 2019,albirex niigata,a albirex n
2760,19,Shonan Bellmare,J League,8380000.000000001,2018/ 2019,shonan bellmare,s bellmare b
2761,20,Sagan Tosu,J League,11380000.0,2018/ 2019,sagan tosu,s sagan t
2762,1,CR Flamengo,Brasil Serie A,71030000.0,2018/ 2019,flamengo,f flamengo f
2763,2,Sociedade Esportiva Palmeiras,Brasil Serie A,75850000.0,2018/ 2019,sociedade esportiva palmeiras,s sociedade p
2764,3,Botafogo de Futebol e Regatas,Brasil Serie A,29950000.0,2018/ 2019,botafogo de futebol e regatas,b botafogo r
2765,4,São Paulo Futebol Clube,Brasil Serie A,66349999.99999999,2018/ 2019,sao paulo futebol clube,s futebol c
2766,5,Sport Club Corinthians Paulista,Brasil Serie A,48650000.0,2018/ 2019,sport club corinthians paulista,s corinthians p
2767,6,Clube Atlético Mineiro,Brasil Serie A,37900000.0,2018/ 2019,clube atletico mineiro,c atletico m
2768,7,Grêmio Foot-Ball Porto Alegrense,Brasil Serie A,70900000.0,2018/ 2019,gremio football porto alegrense,g alegrense a
2769,8,Cruzeiro Esporte Clube,Brasil Serie A,55100000.0,2018/ 2019,cruzeiro esporte clube,c cruzeiro c
2770,9,Fluminense Football Club,Brasil Serie A,28830000.0,2018/ 2019,fluminense football club,f fluminense c
2771,10,Esporte Clube Bahia,Brasil Serie A,30100000.0,2018/ 2019,esporte clube bahia,e esporte b
2772,11,Clube de Regatas Vasco da Gama,Brasil Serie A,31300000.0,2018/ 2019,clube de regatas vasco da gama,c regatas g
2773,12,Red Bull Bragantino,Brasil Serie A,2230000.0,2018/ 2019,red bull bragantino,r bragantino b
2774,13,Sport Club Internacional,Brasil Serie A,47350000.0,2018/ 2019,sport club internacional,s internacional i
2775,14,Club Athletico Paranaense,Brasil Serie A,27100000.0,2018/ 2019,club athletico paranaense,c paranaense p
2776,15,Fortaleza Esporte Clube,Brasil Serie A,8600000.0,2018/ 2019,fortaleza esporte clube,f fortaleza c
2777,16,Cuiabá Esporte Clube (MT),Brasil Serie A,4500000.0,2018/ 2019,cuiaba esporte clube,c esporte c
2778,17,Esporte Clube Vitória,Brasil Serie A,25900000.0,2018/ 2019,esporte clube vitoria,e esporte v
2779,18,Atlético Clube Goianiense,Brasil Serie A,7430000.0,2018/ 2019,atletico clube goianiense,a goianiense g
2780,19,Criciúma Esporte Clube,Brasil Serie A,9880000.0,2018/ 2019,criciuma esporte clube,c criciuma c
2781,20,Esporte Clube Juventude,Brasil Serie A,10200000.0,2018/ 2019,esporte clube juventude,e juventude j
2782,1,Inter Miami CF,MLS,,2018/ 2019,inter miami,i inter m
2783,2,Los Angeles FC,MLS,27480000.0,2018/ 2019,los angeles,l angeles a
2784,3,Los Angeles Galaxy,MLS,28980000.0,2018/ 2019,los angeles galaxy,l angeles g
2785,4,Columbus Crew,MLS,17050000.0,2018/ 2019,columbus crew,c columbus c
2786,5,Orlando City SC,MLS,19800000.0,2018/ 2019,orlando city,o orlando c
2787,6,Seattle Sounders FC,MLS,24300000.0,2018/ 2019,seattle sounders,s sounders s
2788,7,Philadelphia Union,MLS,19030000.0,2018/ 2019,philadelphia union,p philadelphia u
2789,8,FC Cincinnati,MLS,5480000.0,2018/ 2019,cincinnati,c cincinnati c
2790,9,New York City FC,MLS,21130000.0,2018/ 2019,new york city,n york c
2791,10,FC Dallas,MLS,16700000.0,2018/ 2019,dallas,d dallas d
2792,11,Portland Timbers,MLS,25280000.0,2018/ 2019,portland timbers,p portland t
2793,12,Real Salt Lake City,MLS,14750000.0,2018/ 2019,real salt lake city,r real c
2794,13,Nashville SC,MLS,,2018/ 2019,nashville,n nashville n
2795,14,St. Louis CITY SC,MLS,,2018/ 2019,st louis,s louis l
2796,15,Houston Dynamo FC,MLS,15000000.0,2018/ 2019,houston dynamo,h houston d
2797,16,Vancouver Whitecaps FC,MLS,16379999.999999998,2018/ 2019,vancouver whitecaps,v vancouver w
2798,17,Austin FC,MLS,,2018/ 2019,austin,a austin a
2799,18,New York Red Bulls,MLS,20200000.0,2018/ 2019,new york red bulls,n bulls b
2800,19,Charlotte FC,MLS,,2018/ 2019,charlotte,c charlotte c
2801,20,Chicago Fire FC,MLS,19500000.0,2018/ 2019,chicago fire,c chicago f
2802,21,New England Revolution,MLS,13700000.0,2018/ 2019,new england revolution,n revolution r
2803,22,Minnesota United FC,MLS,16180000.0,2018/ 2019,minnesota united,m minnesota u
2804,23,San Jose Earthquakes,MLS,17380000.0,2018/ 2019,san jose earthquakes,s earthquakes e
2805,24,Atlanta United FC,MLS,43100000.0,2018/ 2019,atlanta united,a atlanta u
2806,25,CF Montréal,MLS,17280000.0,2018/ 2019,montreal,m montreal m
2807,26,Colorado Rapids,MLS,16030000.000000002,2018/ 2019,colorado rapids,c colorado r
2808,27,Toronto FC,MLS,30680000.0,2018/ 2019,toronto,t toronto t
2809,28,Sporting Kansas City,MLS,18450000.0,2018/ 2019,sporting kansas city,s sporting c
2810,29,D.C. United,MLS,24400000.0,2018/ 2019,united,u united u
2811,1,CA River Plate,Liga Profesional,81150000.0,2018/ 2019,river plate,r river p
2812,2,CA Boca Juniors,Liga Profesional,109150000.0,2018/ 2019,boca juniors,b juniors j
2813,3,Racing Club,Liga Profesional,45600000.0,2018/ 2019,racing club,r racing c
2814,4,CA Vélez Sarsfield,Liga Profesional,33800000.0,2018/ 2019,velez sarsfield,v sarsfield s
2815,5,CA San Lorenzo de Almagro,Liga Profesional,37750000.0,2018/ 2019,san lorenzo de almagro,s lorenzo a
2816,6,CA Talleres,Liga Profesional,21400000.0,2018/ 2019,talleres,t talleres t
2817,7,CA Rosario Central,Liga Profesional,26430000.0,2018/ 2019,rosario central,r rosario c
2818,8,Club Estudiantes de La Plata,Liga Profesional,22000000.0,2018/ 2019,club estudiantes de la plata,c estudiantes p
2819,9,CA Independiente,Liga Profesional,85950000.0,2018/ 2019,independiente,i independiente i
2820,10,AA Argentinos Juniors,Liga Profesional,17200000.0,2018/ 2019,argentinos juniors,a argentinos j
2821,11,Club Atlético Belgrano,Liga Profesional,16450000.0,2018/ 2019,club atletico belgrano,c atletico b
2822,12,Defensa y Justicia,Liga Profesional,17480000.0,2018/ 2019,defensa y justicia,d justicia j
2823,13,CA Lanús,Liga Profesional,31930000.0,2018/ 2019,lanus,l lanus l
2824,14,CA Newell's Old Boys,Liga Profesional,12250000.0,2018/ 2019,newells old boys,n newells b
2825,15,CA Huracán,Liga Profesional,17150000.0,2018/ 2019,huracan,h huracan h
2827,17,CA Banfield,Liga Profesional,14350000.0,2018/ 2019,banfield,b banfield b
2828,18,Club Atlético Tigre,Liga Profesional,18680000.0,2018/ 2019,club atletico tigre,c atletico t
2830,20,CD Godoy Cruz Antonio Tomba,Liga Profesional,33950000.0,2018/ 2019,godoy cruz antonio tomba,g antonio t
2831,21,CA Unión (Santa Fe),Liga Profesional,19500000.0,2018/ 2019,union santa fe,u union f
2832,22,Club Atlético Tucumán,Liga Profesional,9100000.0,2018/ 2019,club atletico tucuman,c atletico t
2834,24,Club de Gimnasia y Esgrima La Plata,Liga Profesional,10280000.0,2018/ 2019,club de gimnasia y esgrima la plata,c gimnasia p
2839,1,Red Bull Salzburg,Austria Bundesliga,124700000.0,2018/ 2019,red bull salzburg,r salzburg s
2840,2,SK Sturm Graz,Austria Bundesliga,22430000.0,2018/ 2019,sturm graz,s sturm g
2841,3,Rapid Vienna,Austria Bundesliga,34000000.0,2018/ 2019,rapid vienna,r vienna v
2842,4,LASK,Austria Bundesliga,13880000.0,2018/ 2019,,
2843,5,Austria Vienna,Austria Bundesliga,23130000.0,2018/ 2019,austria vienna,a austria v
2844,6,Wolfsberger AC,Austria Bundesliga,7950000.0,2018/ 2019,wolfsberger,w wolfsberger w
2845,7,TSV Hartberg,Austria Bundesliga,5180000.0,2018/ 2019,hartberg,h hartberg h
2846,8,SCR Altach,Austria Bundesliga,11380000.0,2018/ 2019,altach,a altach a
2847,9,FC Blau-Weiss Linz,Austria Bundesliga,3350000.0,2018/ 2019,blauweiss linz,b blauweiss l
2848,10,WSG Tirol,Austria Bundesliga,4600000.0,2018/ 2019,tirol,t tirol t
2849,11,SK Austria Klagenfurt,Austria Bundesliga,80000000.0,2018/ 2019,austria klagenfurt,a klagenfurt k
2850,12,Grazer AK 1902,Austria Bundesliga,,2018/ 2019,grazer,g grazer g
2851,1,FC Copenhagen,Denmark Superliga,27100000.0,2018/ 2019,copenhagen,c copenhagen c
2852,2,FC Midtjylland,Denmark Superliga,22200000.0,2018/ 2019,midtjylland,m midtjylland m
2853,3,Bröndby IF,Denmark Superliga,23050000.0,2018/ 2019,brondby,b brondby b
2854,4,FC Nordsjaelland,Denmark Superliga,10400000.0,2018/ 2019,nordsjaelland,n nordsjaelland n
2855,5,Viborg FF,Denmark Superliga,4150000.0000000005,2018/ 2019,viborg,v viborg v
2856,6,Aarhus GF,Denmark Superliga,7700000.0,2018/ 2019,aarhus,a aarhus a
2857,7,Silkeborg IF,Denmark Superliga,5700000.0,2018/ 2019,silkeborg,s silkeborg s
2858,8,Randers FC,Denmark Superliga,5550000.0,2018/ 2019,randers,r randers r
2859,9,Vejle Boldklub,Denmark Superliga,4630000.0,2018/ 2019,vejle boldklub,v boldklub b
2860,10,Aalborg BK,Denmark Superliga,9750000.0,2018/ 2019,aalborg,a aalborg a
2861,11,Lyngby BK,Denmark Superliga,4750000.0,2018/ 2019,lyngby,l lyngby l
2862,12,Sönderjyske,Denmark Superliga,6750000.0,2018/ 2019,sonderjyske,s sonderjyske s
2863,1,Malmö FF,Allsvenskan,14800000.0,2018/ 2019,malmo,m malmo m
